edw_table,eds_equivalent_table,Status,is_table_replaced,issue_key,eds_base_table,table,key_cols
coursera_warehouse.edw_prod.enterprise_settings,prod.silver.enterprise_settings_vw,Done,No,EDSMIG-5522,prod.silver_base.enterprise_settings,enterprise_settings,['doc_key']
coursera_warehouse.edw_prod.enterprise_programs_courses,prod.gold.enterprise_programs_courses_vw,Done,No,EDSMIG-5521,prod.gold_base.enterprise_programs_courses,,
coursera_warehouse.edw_prod.enterprise_programs,prod.general.stg_enterprise_programs,Done,No,EDSMIG-5520,prod.general.stg_enterprise_programs,,
coursera_warehouse.edw_prod.enterprise_coursera_warehouse.edw_product_restrictions,prod.silver.enterprise_product_restrictions_vw,Done,No,EDSMIG-5516,prod.silver_base.enterprise_product_restrictions,,
coursera_warehouse.edw_prod.enterprise_private_courses,prod.silver.courral_enterprise_private_courses_vw,Done,No,EDSMIG-5515,prod.silver_base.courral_enterprise_private_courses,,
coursera_warehouse.edw_prod.enterprise_curriculum_builder_accreditation_tags,prod.silver.enterprise_curriculum_builder_accreditation_tags_vw,Done,No,EDSMIG-5511,prod.silver_base.enterprise_curriculum_builder_accreditation_tags,enterprise_curriculum_builder_accreditation_tags,"['organization_id', 'product_id', 'program_id']"
coursera_warehouse.edw_prod.enterprise_contracts,prod.silver.payments_enterprise_contracts_vw,Done,No,EDSMIG-5510,prod.silver_base.payments_enterprise_contracts,payments_enterprise_contracts,['enterprise_contract_id']
coursera_warehouse.edw_prod.enterprise_contract_tags_history,prod.silver.enterprise_contract_tags_history_vw,Done,No,EDSMIG-5508,prod.silver_base.enterprise_contract_tags_history,,
coursera_warehouse.edw_prod.enterprise_contract_payments,prod.silver.payments_enterprise_contract_payments_vw,Done,No,EDSMIG-5505,prod.silver_base.payments_enterprise_contract_payments,payments_enterprise_contract_payments,['enterprise_contract_payment_id']
coursera_warehouse.edw_prod.enterprise_content_assignments,prod.silver.enterprise_content_assignments_vw,Done,No,EDSMIG-5503,prod.silver_base.enterprise_content_assignments,enterprise_content_assignments,"['program_id', 'user_key', 'content_type', 'content_id']"
coursera_warehouse.edw_prod.enterprise_client_partner_mappings,prod.silver.courral_enterprise_client_partner_mappings_vw,Done,No,EDSMIG-5501,prod.silver_base.courral_enterprise_client_partner_mappings,courral_enterprise_client_partner_mappings,"['client_scope', 'client_id', 'partner_id']"
coursera_warehouse.edw_prod.enterprise2_program_membership_actions,prod.silver.enterprise_program_membership_actions_vw,Done,No,EDSMIG-5496,prod.silver_base.enterprise_program_membership_actions,enterprise_program_membership_actions,['enterprise_program_membership_action_id']
coursera_warehouse.edw_prod.ecb_user_evaluations,prod.silver.courral_ecb_user_evaluations_vw,Done,No,EDSMIG-5483,prod.silver_base.courral_ecb_user_evaluations,courral_ecb_user_evaluations,"['doc_key', 'ecb_evaluation_id']"
coursera_warehouse.edw_prod.ecb_evaluators,prod.silver.courral_ecb_evaluators_vw,Done,No,EDSMIG-5482,prod.silver_base.courral_ecb_evaluators,courral_ecb_evaluators,['doc_key']
